unit,age,sex,geography,date,value
RT,TOTAL,C,T,2014,336.42
RT,TOTAL,C,T,2014,348.14
RT,TOTAL,C,T,2014,287.76
RT,TOTAL,C,T,2014,258.57
RT,TOTAL,C,T,2014,246.55
RT,TOTAL,C,T,2014,202.97
RT,TOTAL,C,T,2014,276.22
RT,TOTAL,C,T,2014,260.71
RT,TOTAL,C,T,2014,299.33
RT,TOTAL,C,T,2014,232.66
RT,TOTAL,C,T,2014,282.24
RT,TOTAL,C,T,2014,252.54
RT,TOTAL,C,T,2014,292.31
RT,TOTAL,C,T,2014,242.14
RT,TOTAL,C,T,2014,273.22
RT,TOTAL,C,T,2014,298.27
RT,TOTAL,C,T,2014,234.75
RT,TOTAL,C,T,2014,299.91
RT,TOTAL,C,T,2014,324.05
RT,TOTAL,C,T,2014,202.81
RT,TOTAL,C,T,2014,278.56
RT,TOTAL,C,F,2015,194.97
RT,TOTAL,C,F,2015,194.39
RT,TOTAL,C,F,2015,179.27
RT,TOTAL,C,F,2015,175.41
RT,TOTAL,C,F,2015,159.52
RT,TOTAL,C,F,2015,216.28
RT,TOTAL,C,F,2015,202.42
RT,TOTAL,C,F,2015,250.08
RT,TOTAL,C,F,2015,213.07
RT,TOTAL,C,F,2015,174.13
RT,TOTAL,C,F,2015,155.51
RT,TOTAL,C,F,2015,196.86
RT,TOTAL,C,F,2015,200.76
RT,TOTAL,C,F,2015,177.61
RT,TOTAL,C,F,2015,179.24
RT,TOTAL,C,F,2015,243.35
RT,TOTAL,C,F,2015,267.25
RT,TOTAL,C,F,2015,231.65
RT,TOTAL,C,F,2015,224.31
RT,TOTAL,C,F,2015,188.13
RT,TOTAL,C,F,2015,157.44
RT,TOTAL,C,F,2015,198.87
RT,TOTAL,C,F,2015,202.39
RT,TOTAL,C,F,2015,219.6
RT,TOTAL,C,F,2015,182.24
RT,TOTAL,C,F,2015,234.36
RT,TOTAL,C,F,2015,203.17
RT,TOTAL,C,F,2015,228.81
RT,TOTAL,C,F,2015,166.31
RT,TOTAL,C,F,2015,197.91
RT,TOTAL,C,F,2015,226.3
RT,TOTAL,C,F,2015,200.82
RT,TOTAL,C,F,2015,233.27
RT,TOTAL,C,F,2015,237.5
RT,TOTAL,C,F,2015,125.62
RT,TOTAL,C,F,2015,231.85
RT,TOTAL,C,M,2015,314.87
RT,TOTAL,C,M,2015,329.33
RT,TOTAL,C,M,2015,330.37
RT,TOTAL,C,M,2015,289.29
RT,TOTAL,C,M,2015,266.16
RT,TOTAL,C,M,2015,373.27
RT,TOTAL,C,M,2015,324.11
RT,TOTAL,C,M,2015,355.25
RT,TOTAL,C,M,2015,472.62
RT,TOTAL,C,M,2015,345.12
RT,TOTAL,C,M,2015,332.28
RT,TOTAL,C,M,2015,347.27
RT,TOTAL,C,M,2015,346.24
RT,TOTAL,C,M,2015,284.38
RT,TOTAL,C,M,2015,337.27
RT,TOTAL,C,M,2015,481.13
RT,TOTAL,C,M,2015,471.77
RT,TOTAL,C,M,2015,336.54
RT,TOTAL,C,M,2015,275.26
RT,TOTAL,C,M,2015,325.83
RT,TOTAL,C,M,2015,232.61
RT,TOTAL,C,M,2015,449.24
RT,TOTAL,C,M,2015,284.61
RT,TOTAL,C,M,2015,449.66
RT,TOTAL,C,M,2015,284.69
RT,TOTAL,C,M,2015,357.41
RT,TOTAL,C,M,2015,310.01
RT,TOTAL,C,M,2015,428.95
RT,TOTAL,C,M,2015,349.74
RT,TOTAL,C,M,2015,381.92
RT,TOTAL,C,M,2015,391.51
RT,TOTAL,C,M,2015,277.94
RT,TOTAL,C,M,2015,435.29
RT,TOTAL,C,M,2015,453.32
RT,TOTAL,C,M,2015,295.03
RT,TOTAL,C,M,2015,337.23
RT,TOTAL,C,T,2015,243.29
RT,TOTAL,C,T,2015,249.72
RT,TOTAL,C,T,2015,241.92
RT,TOTAL,C,T,2015,221.64
RT,TOTAL,C,T,2015,206.72
RT,TOTAL,C,T,2015,278.62
RT,TOTAL,C,T,2015,252.09
RT,TOTAL,C,T,2015,292.29
RT,TOTAL,C,T,2015,299.09
RT,TOTAL,C,T,2015,249.99
RT,TOTAL,C,T,2015,230.62
RT,TOTAL,C,T,2015,258.68
RT,TOTAL,C,T,2015,260.62
RT,TOTAL,C,T,2015,218.72
RT,TOTAL,C,T,2015,245.14
RT,TOTAL,C,T,2015,335.71
RT,TOTAL,C,T,2015,345.95
RT,TOTAL,C,T,2015,274.74
RT,TOTAL,C,T,2015,244.15
RT,TOTAL,C,T,2015,244.64
RT,TOTAL,C,T,2015,191.28
RT,TOTAL,C,T,2015,285.52
RT,TOTAL,C,T,2015,239.9
RT,TOTAL,C,T,2015,293.74
RT,TOTAL,C,T,2015,224.55
RT,TOTAL,C,T,2015,283.99
RT,TOTAL,C,T,2015,245.94
RT,TOTAL,C,T,2015,304.48
RT,TOTAL,C,T,2015,241.64
RT,TOTAL,C,T,2015,275.33
RT,TOTAL,C,T,2015,297.21
RT,TOTAL,C,T,2015,231.57
RT,TOTAL,C,T,2015,310.52
RT,TOTAL,C,T,2015,320.14
RT,TOTAL,C,T,2015,198.73
RT,TOTAL,C,T,2015,275.46
RT,TOTAL,C,F,2016,192.8
RT,TOTAL,C,F,2016,190.45
RT,TOTAL,C,F,2016,172.2
RT,TOTAL,C,F,2016,174.51
RT,TOTAL,C,F,2016,145.81
RT,TOTAL,C,F,2016,214.81
RT,TOTAL,C,F,2016,204.14
RT,TOTAL,C,F,2016,255.41
RT,TOTAL,C,F,2016,210.23
RT,TOTAL,C,F,2016,178.73
RT,TOTAL,C,F,2016,155.34
RT,TOTAL,C,F,2016,196.13
RT,TOTAL,C,F,2016,200.24
RT,TOTAL,C,F,2016,179.49
RT,TOTAL,C,F,2016,179.88
RT,TOTAL,C,F,2016,240.69
RT,TOTAL,C,F,2016,262.2
RT,TOTAL,C,F,2016,240.36
RT,TOTAL,C,F,2016,245.34
RT,TOTAL,C,F,2016,184.96
RT,TOTAL,C,F,2016,194.11
RT,TOTAL,C,F,2016,197.06
RT,TOTAL,C,F,2016,179.56
RT,TOTAL,C,F,2016,211.67
RT,TOTAL,C,F,2016,184.85
RT,TOTAL,C,F,2016,236.01
RT,TOTAL,C,F,2016,205.9
RT,TOTAL,C,F,2016,224.35
RT,TOTAL,C,F,2016,168.82
RT,TOTAL,C,F,2016,198.09
RT,TOTAL,C,F,2016,232.41
RT,TOTAL,C,F,2016,198.92
RT,TOTAL,C,F,2016,228.63
RT,TOTAL,C,F,2016,233.3
RT,TOTAL,C,F,2016,124.76
RT,TOTAL,C,F,2016,232.97
RT,TOTAL,C,M,2016,302.8
RT,TOTAL,C,M,2016,326.31
RT,TOTAL,C,M,2016,318.0
RT,TOTAL,C,M,2016,277.55
RT,TOTAL,C,M,2016,254.68
RT,TOTAL,C,M,2016,370.27
RT,TOTAL,C,M,2016,324.08
RT,TOTAL,C,M,2016,349.47
RT,TOTAL,C,M,2016,448.47
RT,TOTAL,C,M,2016,338.27
RT,TOTAL,C,M,2016,329.69
RT,TOTAL,C,M,2016,343.93
RT,TOTAL,C,M,2016,342.95
RT,TOTAL,C,M,2016,282.61
RT,TOTAL,C,M,2016,332.41
RT,TOTAL,C,M,2016,477.51
RT,TOTAL,C,M,2016,478.12
RT,TOTAL,C,M,2016,328.93
RT,TOTAL,C,M,2016,304.13
RT,TOTAL,C,M,2016,321.03
RT,TOTAL,C,M,2016,204.35
RT,TOTAL,C,M,2016,438.93
RT,TOTAL,C,M,2016,314.38
RT,TOTAL,C,M,2016,466.12
RT,TOTAL,C,M,2016,270.24
RT,TOTAL,C,M,2016,358.22
RT,TOTAL,C,M,2016,299.16
RT,TOTAL,C,M,2016,417.07
RT,TOTAL,C,M,2016,355.98
RT,TOTAL,C,M,2016,386.89
RT,TOTAL,C,M,2016,387.69
RT,TOTAL,C,M,2016,274.99
RT,TOTAL,C,M,2016,436.27
RT,TOTAL,C,M,2016,448.9
RT,TOTAL,C,M,2016,294.41
RT,TOTAL,C,M,2016,334.73
RT,TOTAL,C,T,2016,237.19
RT,TOTAL,C,T,2016,246.54
RT,TOTAL,C,T,2016,232.05
RT,TOTAL,C,T,2016,216.24
RT,TOTAL,C,T,2016,193.8
RT,TOTAL,C,T,2016,277.03
RT,TOTAL,C,T,2016,253.22
RT,TOTAL,C,T,2016,293.56
RT,TOTAL,C,T,2016,287.6
RT,TOTAL,C,T,2016,249.45
RT,TOTAL,C,T,2016,229.8
RT,TOTAL,C,T,2016,257.06
RT,TOTAL,C,T,2016,259.14
RT,TOTAL,C,T,2016,219.72
RT,TOTAL,C,T,2016,243.45
RT,TOTAL,C,T,2016,333.86
RT,TOTAL,C,T,2016,345.33
RT,TOTAL,C,T,2016,277.21
RT,TOTAL,C,T,2016,269.79
RT,TOTAL,C,T,2016,241.03
RT,TOTAL,C,T,2016,197.37
RT,TOTAL,C,T,2016,280.66
RT,TOTAL,C,T,2016,235.45
RT,TOTAL,C,T,2016,294.61
RT,TOTAL,C,T,2016,220.95
RT,TOTAL,C,T,2016,285.05
RT,TOTAL,C,T,2016,242.76
RT,TOTAL,C,T,2016,297.42
RT,TOTAL,C,T,2016,245.79
RT,TOTAL,C,T,2016,277.32
RT,TOTAL,C,T,2016,298.52
RT,TOTAL,C,T,2016,229.4
RT,TOTAL,C,T,2016,308.51
RT,TOTAL,C,T,2016,315.13
RT,TOTAL,C,T,2016,198.26
RT,TOTAL,C,T,2016,275.24
RT,TOTAL,C,F,2017,187.07
RT,TOTAL,C,F,2017,188.59
RT,TOTAL,C,F,2017,172.04
RT,TOTAL,C,F,2017,169.9
RT,TOTAL,C,F,2017,159.61
RT,TOTAL,C,F,2017,209.83
RT,TOTAL,C,F,2017,200.31
RT,TOTAL,C,F,2017,242.98
RT,TOTAL,C,F,2017,207.65
RT,TOTAL,C,F,2017,171.61
RT,TOTAL,C,F,2017,155.07
RT,TOTAL,C,F,2017,
RT,TOTAL,C,F,2017,
RT,TOTAL,C,F,2017,176.85
RT,TOTAL,C,F,2017,
RT,TOTAL,C,F,2017,236.49
RT,TOTAL,C,F,2017,263.0
RT,TOTAL,C,F,2017,228.54
RT,TOTAL,C,F,2017,211.73
RT,TOTAL,C,F,2017,184.15
RT,TOTAL,C,F,2017,157.56
RT,TOTAL,C,F,2017,193.69
RT,TOTAL,C,F,2017,201.74
RT,TOTAL,C,F,2017,212.85
RT,TOTAL,C,F,2017,177.08
RT,TOTAL,C,F,2017,227.69
RT,TOTAL,C,F,2017,203.3
RT,TOTAL,C,F,2017,222.37
RT,TOTAL,C,F,2017,166.74
RT,TOTAL,C,F,2017,198.43
RT,TOTAL,C,F,2017,233.01
RT,TOTAL,C,F,2017,202.26
RT,TOTAL,C,F,2017,230.66
RT,TOTAL,C,F,2017,231.37
RT,TOTAL,C,F,2017,121.72
RT,TOTAL,C,F,2017,228.55
RT,TOTAL,C,M,2017,303.39
RT,TOTAL,C,M,2017,309.07
RT,TOTAL,C,M,2017,319.0
RT,TOTAL,C,M,2017,274.98
RT,TOTAL,C,M,2017,269.95
RT,TOTAL,C,M,2017,367.78
RT,TOTAL,C,M,2017,312.64
RT,TOTAL,C,M,2017,343.48
RT,TOTAL,C,M,2017,449.29
RT,TOTAL,C,M,2017,337.92
RT,TOTAL,C,M,2017,323.11
RT,TOTAL,C,M,2017,
